accommodates;bathrooms;bedrooms;calculated_host_listings_count;guests_included;host_listings_count;latitude;longitude;minimum_nights;number_of_reviews;d_centre;instant_bookable_t;room_type_Entire home/apt;room_type_Private room;room_type_Shared room;price_category
2;1;1;1;1;1;52,38046358;4,85324772;2;2;3,135971219;0;1;0;0;Low
2;1;0;1;1;1;52,38037332;4,880206599;3;124;1,310682915;0;0;1;0;Low
3;1;1;1;2;1;52,35720251;4,917492366;3;6;2,73336684;0;1;0;0;Low
2;1;1;1;2;1;52,36507752;4,928477323;2;70;2,518440764;0;0;1;0;Low
2;1;1;1;2;1;52,3817208;4,84762813;2;26;3,525162337;0;1;0;0;Low
4;1;2;1;1;1;52,37813143;4,876449455;2;27;1,56338208;0;1;0;0;Mid-High
6;1;2;2;5;2;52,36206203;4,83999398;2;1;4,459219311;0;1;0;0;Mid-High
4;1;2;2;2;2;52,37260954;4,897854126;3;21;0,738927174;0;1;0;0;Highest
5;2;4;1;2;1;52,36896315;4,867663358;1;12;2,436417334;0;1;0;0;Mid-High
4;2,5;3;1;1;1;52,36561424;4,876697734;4;1;2,157396737;0;1;0;0;Mid-High
6;1;3;1;4;1;52,40509479;4,903170414;2;27;2,889930807;0;1;0;0;Mid-High
2;1;1;1;1;1;52,37040951;4,858634733;2;0;2,934589579;1;1;0;0;Mid-High
16;2;3;5;8;5;52,39431585;4,910463138;2;82;1,839978011;1;1;0;0;Highest
7;2;4;1;1;1;52,36990853;4,871969125;2;20;2,129446928;0;1;0;0;Mid-High
4;2;2;1;1;1;52,37822696;4,89147795;1;95;0,549986803;0;0;1;0;Mid-High
4;1;3;1;2;1;52,34749907;4,892450887;2;0;3,553258544;0;1;0;0;Mid-High
6;2,5;4;5;6;5;52,37593322;4,93980416;7;34;2,762584738;1;1;0;0;Highest
4;1,5;2;7;1;9;52,37219831;4,899528379;3;0;0,776869652;1;1;0;0;Mid-High
6;1;3;1;1;1;52,35682995;4,887195704;1;3;2,61967548;0;1;0;0;Mid-High
5;2;2;1;4;1;52,36945139;4,889239491;3;31;1,284123797;0;1;0;0;Mid-High
4;1;2;1;4;3;52,37061597;4,883850336;2;0;1,422976538;0;1;0;0;Mid-High
4;1,5;2;1;1;1;52,36857814;4,891192344;3;0;1,304897764;0;1;0;0;Highest
4;1;3;1;4;1;52,35403165;4,899831348;2;55;2,795745375;1;1;0;0;Mid-High
5;2;2;3;4;3;52,36407353;4,873839157;8;6;2,41581807;0;1;0;0;Highest
5;2;3;2;1;2;52,38164345;4,888190335;2;19;0,809798219;0;1;0;0;Mid-High
2;1;2;1;2;1;52,35359013;4,901180316;2;114;2,847152673;0;0;1;0;Mid-High
6;1;3;8;1;8;52,37293059;4,899237334;3;1;0,695590708;0;1;0;0;Highest
6;1;3;1;3;1;52,37377738;4,898087367;2;1;0,608235813;1;1;0;0;Mid-High
